OID_,ORIG_FID,osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,Shape_Length,lng,lat
13,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0514026,22.53735069
14,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0518894,22.5373585
15,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0523762,22.53736623
16,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.052863,22.53737405
17,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0533497,22.53738184
18,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0538365,22.53738965
19,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0543233,22.53739743
20,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0548101,22.53740518
21,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0552969,22.53741294
22,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0557837,22.53742074
23,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0562704,22.53742851
24,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0567572,22.53743634
25,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.057244,22.53744406
26,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0577308,22.53745186
27,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0582176,22.53745965
28,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0587043,22.53746732
29,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0591911,22.53747505
30,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0596779,22.53748289
31,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0601647,22.53749073
32,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0606515,22.53749856
33,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0611383,22.53750628
34,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.061625,22.53751397
35,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0621118,22.53752167
36,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0625986,22.5375292
37,,31560815,福华路,secondary, , , , ,6,"""lanes""=>""3"",""name:en""=>""Fuhua Road"",""name:zh""=>""福华路"",""oneway""=>""yes""",0,114.0630854,22.53753474
