id,panoid,date,lng,lat,description,svf
1,09005700121709071303360358V,2017-09-07,114.05739862981392,22.540238987157615,,0.547412
2,09005700121902171422529882D,2019-02-17,114.05796986228752,22.54034755656951,,0.566791
3,09005700121902171422512852D,2019-02-17,114.05816865729682,22.54034997663997,,0.567624
4,09005700121709071303386238V,2017-09-07,114.05765392823977,22.540241657582314,,0.509788
5,09005700121902171422466662D,2019-02-17,114.05867368465437,22.54035498368215,,0.350664
6,09005700121902171422415402D,2019-02-17,114.05917107641507,22.54036433016042,,0.532322
7,09005700121902171426062172D,2019-02-17,114.05842350656991,22.540215787840886,,0.443842
8,09005700121902171422448222D,2019-02-17,114.05886062203092,22.540357987907377,,0.50047
9,09005700121902171422268212D,2019-02-17,114.05986744284617,22.540391868887284,,0.460538
10,09005700121902171422385472D,2019-02-17,114.05942332060219,22.540372675229747,,0.53943
11,09005700121902161407128782D,2019-02-16,114.05955339524,22.540329280863638,,0.580986
12,09005700121902171422149352D,2019-02-17,114.0605559041888,22.54039478966102,,0.444391
13,09005700121902171422194512D,2019-02-17,114.06017349553332,22.54039620832252,,0.510771
14,09005700121902171422173412D,2019-02-17,114.06034219730803,22.54039362135153,,0.422923
15,09005700121902171422110292D,2019-02-17,114.06091540605377,22.540403218179154,,0.459724
16,09005700121902171422083312D,2019-02-17,114.06115255870833,22.54040830867006,,0.485608
17,09005700121902171422057532D,2019-02-17,114.0613647384697,22.540411229443446,,0.49918
18,09005700121902171422028152D,2019-02-17,114.06156524025947,22.54041281500611,,0.41097
19,09005700121902171421572522D,2019-02-17,114.06184667937566,22.540418072397983,,0.40114
20,09005700121902171421502842D,2019-02-17,114.06239266946446,22.540418823453955,,0.393421
21,09005700121902171421481902D,2019-02-17,114.06260574753134,22.54042040901653,,0.398659
22,09005700121902171421381742D,2019-02-17,114.06330885125377,22.540436514993278,,0.387882
23,09005700121902171421544872D,2019-02-17,114.06201735742249,22.540417571694007,,0.399956
24,09005700121902141334280882D,2019-02-14,114.06285745273514,22.540368502695145,,0.292005
25,09005700121902141355570392D,2019-02-14,114.06300297822773,22.540378683679354,,0.450298
26,09005700121902171420380102D,2019-02-17,114.06350001066623,22.540440019920602,,0.343266
27,09005700121902171420333532D,2019-02-17,114.06379806843434,22.540445444212715,,0.313982
28,09005700121902171420309312D,2019-02-17,114.06397638207801,22.540445527663362,,0.355835
29,09005700121902171420238722D,2019-02-17,114.06453189420519,22.54044919949175,,0.318142
30,09005700121902171420263642D,2019-02-17,114.06433318902646,22.54044719667628,,0.350638
31,09005700121902171420213242D,2019-02-17,114.06473041972284,22.540451035405898,,0.435371
32,09005700121709061150304038V,2017-09-06,114.065014463925,22.540405805149973,,0.539715
33,09005700121902181121372752D,2019-02-18,114.06506692496677,22.540380269242394,,0.538175
34,09005700121902171419200702D,2019-02-17,114.06595310335207,22.54047331672573,,0.457885
35,09005700121902171419225652D,2019-02-17,114.06574694223758,22.5404707297562,,0.203296
36,09005700121902171419255222D,2019-02-17,114.06552730654047,22.540470646305568,,0.479755
37,09005700121902171419176852D,2019-02-17,114.0661595339582,22.54047531954082,,0.46295
38,09005700121902171419140452D,2019-02-17,114.06647286291997,22.54047173116377,,0.469281
39,09005700121902171419114822D,2019-02-17,114.06666384267132,22.540472315318173,,0.528968
40,09005700121902171419055032D,2019-02-17,114.06695165975663,22.540488421288792,,0.193177
41,09005700121902171419006712D,2019-02-17,114.0673842836901,22.540500855430604,,0.561918
42,09005700121902171419029752D,2019-02-17,114.06714713103554,22.540492510369113,,0.609038
43,09005700011601181423421468N,2016-01-18,114.06767928721948,22.54042733542127,,0.566841
44,09005700121902171418562552D,2019-02-17,114.06792901615115,22.54050978464584,,0.536341
45,09005700121902171418517312D,2019-02-17,114.0684292824895,22.540515459286997,,0.411598
46,09005700121902171418540752D,2019-02-17,114.06817030101107,22.540514457879752,,0.442154
47,09005700121902171418497002D,2019-02-17,114.06864936733938,22.54052180153272,,0.414336
48,09005700121902171418476532D,2019-02-17,114.06887627931113,22.540528561031113,,0.363002
49,09005700121902171418455442D,2019-02-17,114.06911433027119,22.5405330673632,,0.363205
50,09005700121709061136267068V,2017-09-06,114.06936504733895,22.540607338370506,,0.396912
51,09005700121902171418290172D,2019-02-17,114.07013821889112,22.540561023308893,,0.416073
52,09005700121902171431234322D,2019-02-17,114.07084419719119,22.5404138164141,,0.410395
53,09005700121902141443043212D,2019-02-14,114.06981743399362,22.54045804525973,,0.407647
54,09005700121902171418198932D,2019-02-17,114.07054263603159,22.540562942672118,,0.448589
55,09005700121902141425200862D,2019-02-14,114.06968753901691,22.540470145601788,,0.43518
56,09005700121902171418222672D,2019-02-17,114.07037456307071,22.540564027529584,,0.407208
57,09005700121902171418130272D,2019-02-17,114.0711378532623,22.540572122235,,0.404855
58,09005700121902171418104482D,2019-02-17,114.07135147031249,22.5405737077958,,0.347754
59,09005700121902171418016542D,2019-02-17,114.07212212660926,22.540593569029504,,0.535883
60,09005700121902171418056382D,2019-02-17,114.0717933467927,22.540583888764697,,0.462012
61,09005700121902171417596072D,2019-02-17,114.07225956735223,22.540596489798922,,0.51803
62,09005700121902171418079952D,2019-02-17,114.0715709263485,22.540578714829778,,0.409614
63,09005700121902171417308992D,2019-02-17,114.0725177403557,22.54060600316174,,0.416031
64,09005700121902171432453652D,2019-02-17,114.07302357618822,22.54045537483927,,0.317329
65,09005700121902171417259572D,2019-02-17,114.07279136421397,22.54060975843635,,0.40476
66,09005700121902171417176382D,2019-02-17,114.07354117982288,22.54063112177441,,0.463022
67,09005700121902171432481392D,2019-02-17,114.07330142208237,22.54046497166255,,0.263794
68,09005700121902171417150912D,2019-02-17,114.07377779349413,22.540640551684284,,0.4333
69,09005700121902171432575232D,2019-02-17,114.0740838461813,22.540488504739415,,0.433457
70,09005700122003201031405343O,2020-03-20,114.07444110228248,22.54053331771497,,0.472651
71,09005700121902171434459942D,2019-02-17,114.07430375137007,22.540496098745614,,0.4606
72,09005700121902171417009252D,2019-02-17,114.07494648896224,22.54066408473086,,0.460454
73,09005700121902171434594422D,2019-02-17,114.07521517214018,22.540489172344362,,0.453972
74,09005700121902171434534592D,2019-02-17,114.07473763293125,22.54051520893519,,0.463034
75,09005700122003221337294023O,2020-03-22,114.07544432987571,22.540725420843838,,0.453313
